Area,International Phone Number,Latitude,Longitude
Ciutat Vella,+34 976 24 16 53,41.3901416,2.169835
Ciutat Vella,+34 938 36 33 07,41.3883886,2.1687168
Ciutat Vella,+34 938 29 93 36,41.3912699,2.1724898
Ciutat Vella,+34 938 28 83 12,41.3894663,2.1651712
Ciutat Vella,+34 937 07 29 98,41.3920594,2.1739426
Ciutat Vella,+34 936 67 21 04,41.389454,2.1689521
Ciutat Vella,+34 936 24 15 77,41.3911444,2.1712806
Ciutat Vella,+34 935 15 58 29,41.3917744,2.1727257
Ciutat Vella,+34 935 10 11 30,41.3915035,2.1715182
Ciutat Vella,+34 934 88 18 00,41.3893976,2.1636414
Ciutat Vella,+34 934 88 09 60,41.3893992,2.1653997
Ciutat Vella,+34 934 88 02 83,41.3895354,2.1638646
Ciutat Vella,+34 934 87 93 15,41.3895112,2.1638183
Ciutat Vella,+34 934 87 83 42,41.38846393,2.164009867
Ciutat Vella,+34 934 87 48 14,41.3900312,2.1704503
Ciutat Vella,+34 934 87 41 99,41.3893872,2.1632404
Ciutat Vella,+34 934 87 40 02,41.3890483,2.1650956
Ciutat Vella,+34 934 81 61 24,41.38875,2.16893
Ciutat Vella,+34 934 81 60 00,41.3892752,2.1701421
Ciutat Vella,+34 934 81 30 96,41.3896614,2.1691535
Ciutat Vella,+34 934 67 70 80,41.3924325,2.1731109
Ciutat Vella,+34 934 54 19 63,41.3878697,2.1633954
Ciutat Vella,+34 934 54 16 07,41.3878698,2.1633955
Ciutat Vella,+34 934 12 59 44,41.3916756,2.1734953
Ciutat Vella,+34 934 12 29 35,41.3926016,2.1738661
Ciutat Vella,+34 934 12 01 05,41.389441,2.16793
Ciutat Vella,+34 933 66 30 00,41.3887575,2.164671
Ciutat Vella,+34 933 63 18 38,41.389093,2.1693375
Ciutat Vella,+34 933 48 69 99,41.3901416,2.169835
Ciutat Vella,+34 933 43 66 90,41.3890045,2.1658045
Ciutat Vella,+34 933 43 60 80,41.3911629,2.171915
Ciutat Vella,+34 933 42 80 00,41.390896,2.1707218
Ciutat Vella,+34 933 42 64 00,41.3884307,2.1646228
Ciutat Vella,+34 933 42 57 82,41.3888994,2.1682803
Ciutat Vella,+34 933 23 29 85,41.3878697,2.1633955
Ciutat Vella,+34 933 23 07 48,41.3894772,2.1637379
Ciutat Vella,+34 933 18 58 65,41.3911115,2.1733859
Ciutat Vella,+34 933 18 47 87,41.3919515,2.174535
Ciutat Vella,+34 933 18 37 04,41.3899378,2.1711619
Ciutat Vella,+34 933 18 19 00,41.3899719,2.1695744
Ciutat Vella,+34 933 18 17 39,41.389882,2.170694
Ciutat Vella,+34 933 18 16 93,41.3925627,2.1732209
Ciutat Vella,+34 933 18 14 95,41.3902476,2.1728617
Ciutat Vella,+34 933 18 04 06,41.392527,2.173002
Ciutat Vella,+34 933 17 66 89,41.3911582,2.1711796
Ciutat Vella,+34 933 17 23 38,41.3906452,2.1719173
Ciutat Vella,+34 933 17 05 78,41.3879049,2.1647355
Ciutat Vella,+34 933 17 05 29,41.3918391,2.1736065
Ciutat Vella,+34 933 17 02 45,41.3890692,2.1664977
Ciutat Vella,+34 933 16 22 15,41.3887015,2.166441
Ciutat Vella,+34 933 14 59 32,41.3885013,2.1676255
Ciutat Vella,+34 933 06 91 00,41.3923558,2.1726157
Ciutat Vella,+34 933 04 17 26,41.3898843,2.1716079
Ciutat Vella,+34 933 04 12 00,41.388899,2.16828
Ciutat Vella,+34 933 04 00 87,41.388986,2.1653393
Ciutat Vella,+34 933 03 41 54,41.3891758,2.1663391
Ciutat Vella,+34 933 02 69 38,41.3917946,2.174109
Ciutat Vella,+34 933 02 47 17,41.3910035,2.171454
Ciutat Vella,+34 933 02 22 35,41.3880499,2.1633789
Ciutat Vella,+34 933 02 21 76,41.3928539,2.1734858
Ciutat Vella,+34 933 02 09 88,41.3918982,2.1731556
Ciutat Vella,+34 933 02 07 99,41.3893349,2.1662721
Ciutat Vella,+34 933 01 96 00,41.3891368,2.1672542
Ciutat Vella,+34 933 01 62 09,41.390065,2.171819
Ciutat Vella,+34 933 01 44 16,41.3920915,2.1726702
Ciutat Vella,+34 933 01 40 63,41.388843,2.168213
Ciutat Vella,+34 933 01 23 50,41.3904848,2.171800633
Ciutat Vella,+34 933 01 23 45,41.390016,2.172502
Ciutat Vella,+34 933 01 10 57,41.3911083,2.173629
Ciutat Vella,+34 933 01 00 00,41.3893025,2.16604
Ciutat Vella,+34 932 72 31 80,41.3888703,2.1652358
Ciutat Vella,+34 932 72 28 96,41.3888978,2.1636419
Ciutat Vella,+34 932 72 20 00,41.3887894,2.163541
Ciutat Vella,+34 932 70 38 30,41.3890463,2.1667065
Ciutat Vella,+34 932 70 27 35,41.3901111,2.1696686
Ciutat Vella,+34 932 70 19 10,41.391559,2.1728625
Ciutat Vella,+34 932 65 37 96,41.3916592,2.1733859
Ciutat Vella,+34 932 47 26 78,41.3928227,2.1740412
Ciutat Vella,+34 932 47 07 52,41.3930604,2.1753839
Ciutat Vella,+34 932 45 62 00,41.390674,2.1703837
Ciutat Vella,+34 932 31 60 58,41.3926467,2.1736998
Ciutat Vella,+34 932 21 91 39,41.3755192,2.1877165
