Area,category,business_status,formatted_phone_number,international_phone_number,name,opening_hours,place_id,rating,types,url,user_ratings_total,website,permanently_closed,price_level,latitude,longitude
Ciutat Vella,moving_company,OPERATIONAL,976 24 16 53,+34 976 24 16 53,IAC Cooperativa de Transporte,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}",ChIJv4mlPWKjpBIRLvZeiw2VL0Y,5.0,"['moving_company', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=5057424791965726254,2.0,https://iaccooperativa.net/,,,41.3901416,2.169835
Ciutat Vella,university,OPERATIONAL,938 36 33 07,+34 938 36 33 07,Consulate General of Georgia,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1300'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1300'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1300'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1300'}, 'open': {'day': 4, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']}",ChIJK5h2LfKipBIRRNkZZnF-1uU,4.4,"['university', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=16561563705210952004,33.0,http://barcelona.mfa.gov.ge/,,,41.3883886,2.1687168
Ciutat Vella,shopping_mall,OPERATIONAL,938 29 93 36,+34 938 29 93 36,Paris Look in Barcelona,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1000'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}",ChIJ8Wms0e-ipBIR4avSC4Xeewk,4.4,"['shopping_mall', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=683384431487134689,93.0,https://paris-look.com/,,,41.3912699,2.1724898
Ciutat Vella,embassy,OPERATIONAL,938 28 83 12,+34 938 28 83 12,Philippine Consulate General in Barcelona,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0830'}}], 'weekday_text': ['Monday: 8:30\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}",ChIJAfa7Lb2jpBIRCjWYVSor6oU,4.1,"['embassy', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=9649572612419368202,19.0,https://barcelonapcg.dfa.gov.ph/,,,41.3894663,2.1651712
Ciutat Vella,post_office,OPERATIONAL,937 07 29 98,+34 937 07 29 98,Goku Express 悟空速递,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1130'}}], 'weekday_text': ['Monday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}",ChIJBRV8ER6jpBIRHl1CJPk2epg,3.3,"['post_office', 'finance', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=10987154684606831902,4.0,,,,41.39205940000001,2.1739426
Ciutat Vella,dentist,OPERATIONAL,936 67 21 04,+34 936 67 21 04,Carlos Saiz Smile,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1330'}, 'open': {'day': 1, 'time': '0930'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1600'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0930'}}, {'close': {'day': 3, 'time': '1330'}, 'open': {'day': 3, 'time': '0930'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0930'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0930'}}], 'weekday_text': ['Monday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20091:30\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}",ChIJxxtClwajpBIRVy06BM-RdrA,4.5,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=12715510916242353495,97.0,http://www.carlossaizsmile.com/,,,41.389454,2.1689521
Ciutat Vella,cafe,OPERATIONAL,936 24 15 77,+34 936 24 15 77,Alsur Café Llúria,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0830'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0830'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0830'}}], 'weekday_text': ['Monday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u200911:00\u202fPM']}",ChIJyZYIJu6ipBIRe1lRArLwfXo,4.2,"['cafe', 'bar', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=8826475492049770875,3670.0,http://www.alsurcafe.com/,,2.0,41.39114439999999,2.1712806
Ciutat Vella,hair_care,OPERATIONAL,935 15 58 29,+34 935 15 58 29,Comercial Pons,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0930'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0930'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0930'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0930'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0930'}}], 'weekday_text': ['Monday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}",ChIJvcR_GZKipBIR6paLZYjco0s,4.3,"['hair_care', 'store', 'health', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=5450442452425742058,60.0,https://maquinasprofesionales.com/,,,41.3917744,2.1727257
Ciutat Vella,lodging,OPERATIONAL,935 10 11 30,+34 935 10 11 30,El Palace Hotel Barcelona,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}",ChIJxXEkMe6ipBIRJXdyhVotT8g,4.6,"['lodging', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=14433805197554906917,1748.0,https://www.hotelpalacebarcelona.com/,,,41.3915035,2.1715182
Ciutat Vella,art_gallery,OPERATIONAL,934 88 18 00,+34 934 88 18 00,Àmbit Galeria d'Art,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1700'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}",ChIJq2OAPo2ipBIRCc8qNfYO_Uc,4.4,"['art_gallery', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=5187318796417421065,15.0,http://ambitgaleriaart.com/,,,41.3893976,2.1636414
